,Total_Matches,Total_Matches_Reg,Home_Matches_Reg,Total_Matches_AET,Home_Matches_AET,Total_Matches_Pens,Home_Matches_Pens,Home_Wins_Reg,Home_Ties_Reg,Away_Wins_Reg,Away_Ties_Reg,Home_Goals_Reg,Home_Goals_Conceded_Reg,Away_Goals_Reg,Away_Goals_Conceded_Reg,Home_Wins_AET,Home_Ties_AET,Away_Wins_AET,Away_Ties_AET,Home_Wins_Pens,Away_Wins_Pens,Reg_Win_%,Reg_Tie_%,AET_Win_%,AET_Tie_%,Pens_Win_%,Away_Reg_Win_%,Home_Reg_Win_%,Away_Reg_Tie_%,Home_Reg_Tie_%,Away_AET_Win_%,Home_AET_Win_%,Away_AET_Tie_%,Home_AET_Tie_%,Away_Pens_Win_%,Home_Pens_Win_%,Avg_Home_Goals_Reg,Avg_Home_Goals_Conceded_Reg,Avg_Away_Goals_Reg,Avg_Away_Goals_Conceded_Reg
Hapoel Tel Aviv,6,6,3,0,0,0,0,1,1,0,1,4,3,3,7,0,0,0,0,0,0,0.16666666666666666,0.3333333333333333,,,,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,1.3333333333333333,1.0,1.0,2.3333333333333335
Twente,6,6,3,0,0,0,0,0,3,1,0,6,6,3,5,0,0,0,0,0,0,0.16666666666666666,0.5,,,,0.3333333333333333,0.0,0.0,1.0,,,,,,,2.0,2.0,1.0,1.6666666666666667
Kobenhavn,14,13,7,1,0,0,0,3,2,1,1,7,7,4,13,0,0,1,0,0,0,0.3076923076923077,0.23076923076923078,1.0,0.0,,0.16666666666666666,0.42857142857142855,0.16666666666666666,0.2857142857142857,1.0,,0.0,,,,1.0,1.0,0.6666666666666666,2.1666666666666665
Schalke 04,36,34,18,2,0,0,0,9,3,7,6,31,32,25,26,0,0,2,0,0,0,0.47058823529411764,0.2647058823529412,1.0,0.0,,0.4375,0.5,0.375,0.16666666666666666,1.0,,0.0,,,,1.7222222222222223,1.7777777777777777,1.5625,1.625
Tottenham Hotspur,10,9,4,1,1,0,0,3,1,1,2,10,3,9,13,0,0,0,0,0,0,0.4444444444444444,0.3333333333333333,0.0,0.0,,0.2,0.75,0.4,0.25,,0.0,,0.0,,,2.5,0.75,1.8,2.6
AJ Auxerre,6,6,3,0,0,0,0,1,0,0,0,2,4,1,8,0,0,0,0,0,0,0.16666666666666666,0.0,,,,0.0,0.3333333333333333,0.0,0.0,,,,,,,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.6666666666666665
AFC Ajax,30,30,15,0,0,0,0,6,4,2,4,21,23,12,27,0,0,0,0,0,0,0.26666666666666666,0.26666666666666666,,,,0.13333333333333333,0.4,0.26666666666666666,0.26666666666666666,,,,,,,1.4,1.5333333333333334,0.8,1.8
Sporting Braga,12,12,6,0,0,0,0,2,0,2,0,6,10,6,14,0,0,0,0,0,0,0.3333333333333333,0.0,,,,0.3333333333333333,0.3333333333333333,0.0,0.0,,,,,,,1.0,1.6666666666666667,1.0,2.3333333333333335
MSK Zilina,6,6,3,0,0,0,0,0,0,0,0,2,13,1,6,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.6666666666666666,4.333333333333333,0.3333333333333333,2.0
Spartak Moskva,12,12,6,0,0,0,0,2,0,2,0,7,12,7,12,0,0,0,0,0,0,0.3333333333333333,0.0,,,,0.3333333333333333,0.3333333333333333,0.0,0.0,,,,,,,1.1666666666666667,2.0,1.1666666666666667,2.0
Partizan Belgrade,6,6,3,0,0,0,0,0,0,0,0,1,7,1,6,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.3333333333333333,2.3333333333333335,0.3333333333333333,2.0
Borussia Dortmund,37,35,18,2,0,0,0,12,2,6,4,34,17,29,31,0,0,2,0,0,0,0.5142857142857142,0.17142857142857143,1.0,0.0,,0.35294117647058826,0.6666666666666666,0.23529411764705882,0.1111111111111111,1.0,,0.0,,,,1.8888888888888888,0.9444444444444444,1.7058823529411764,1.8235294117647058
Viktoria Plzen,12,12,6,0,0,0,0,1,2,1,0,5,12,5,16,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,,,,,,,0.8333333333333334,2.0,0.8333333333333334,2.6666666666666665
Bayer Leverkusen,30,30,15,0,0,0,0,9,2,2,4,28,23,13,28,0,0,0,0,0,0,0.36666666666666664,0.2,,,,0.13333333333333333,0.6,0.26666666666666666,0.13333333333333333,,,,,,,1.8666666666666667,1.5333333333333334,0.8666666666666667,1.8666666666666667
KRC Genk,6,6,3,0,0,0,0,0,3,0,0,2,2,0,14,0,0,0,0,0,0,0.0,0.5,,,,0.0,0.0,0.0,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.0,4.666666666666667
Otelul Galati,6,6,3,0,0,0,0,0,0,0,0,2,6,1,5,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667
Lille OSC,12,12,6,0,0,0,0,0,2,2,1,3,8,7,11,0,0,0,0,0,0,0.16666666666666666,0.25,,,,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,,,,,,,0.5,1.3333333333333333,1.1666666666666667,1.8333333333333333
Dinamo Zagreb,18,18,9,0,0,0,0,1,1,0,0,4,19,3,31,0,0,0,0,0,0,0.05555555555555555,0.05555555555555555,,,,0.0,0.1111111111111111,0.0,0.1111111111111111,,,,,,,0.4444444444444444,2.111111111111111,0.3333333333333333,3.4444444444444446
